fp_objetivo,umbral_score,fp_real,recall_anom
0.01,0.5513826477745096,0.01,0.034958601655933765
0.02,0.5207192026135643,0.02,0.07083716651333946
0.05,0.4798577740385616,0.05,0.15731370745170192
0.1,0.4539868338811385,0.1,0.23551057957681693
0.2,0.42872581747861804,0.2,0.35418583256669733
