clase_real,n,detectados,recall
PCEB,77,31,0.4025974025974026
EA_UP,141,49,0.3475177304964539
Cep-II,108,30,0.2777777777777778
ACEP,57,15,0.2631578947368421
LADS,7,1,0.14285714285714285
Beta_Lyrae,261,28,0.10727969348659004
HADS,202,12,0.0594059405940594
ELL,150,8,0.05333333333333334
Blazhko,61,3,0.04918032786885246
Hump,23,1,0.043478260869565216
