score_min,clase_mas_cercana,score_EA,score_EW,score_LPV,score_RRab,score_RRc,score_RRd,score_RS CVn,rank_percentil,es_ood_real,clase_real,id_objeto
0.3746648233430813,EW,0.5009110124413139,0.3746648233430813,0.5476753374165014,0.5808108264381341,0.5526653093453018,0.5278693339888677,0.4569824278717646,10.597556949488279,0,EW,CSS_J173822.3+541006
0.43928739121752985,EW,0.5858498940422001,0.43928739121752985,0.5803229347297534,0.6341890981433385,0.610894715027979,0.5863834871077759,0.5326786571329793,79.05799493782327,0,EW,CSS_J035942.1+250122
0.4189831124327974,EW,0.5134835950718357,0.4189831124327974,0.5394285769409991,0.6004120675355259,0.6137796679042993,0.6009707774579937,0.41910681324651305,65.0269615934852,0,EW,CSS_J050004.2+005836
0.44603000778074636,EA,0.44603000778074636,0.5135501502535543,0.6029111650449415,0.6611932396587425,0.6804814349946966,0.6430789635496051,0.4465570262862829,82.26037195994277,0,EW,CSS_J052607.7+002624
0.4836092749501646,EW,0.5511848442971601,0.4836092749501646,0.543094249184669,0.5895813613412115,0.624956421403576,0.5624995418757751,0.52414274748363,93.04500935402224,0,EW,CSS_J231219.3+372824
0.5990966731471168,EA,0.5990966731471168,0.6724129820894881,0.6527808041914431,0.7322772044955509,0.7534590044650278,0.7563704382526888,0.6490753099422744,99.71387696709584,0,EW,CSS_J222826.9+211010
0.41861121958606023,EW,0.5306712204026374,0.41861121958606023,0.5141973419921908,0.5506117655324808,0.6062531008480074,0.5462319854414823,0.49527452414116185,64.74083856058105,0,EW,CSS_J104514.6+521648
0.45361820785563567,EW,0.5782601829049661,0.45361820785563567,0.544654792445843,0.6470692247246035,0.6433414682408021,0.6182364104375114,0.5432336536646813,85.09959282491472,0,EW,CSS_J040227.2+260434
0.4228112797981587,EA,0.4228112797981587,0.5787498017714039,0.5981480494509707,0.6560767841659737,0.7041370124557731,0.6639044256782022,0.4931614708185659,68.08627709915264,0,EW,CSS_J180350.8+340926
0.413245592100172,RS CVn,0.5362567507852251,0.4710313044988905,0.5317904038592032,0.4731474420834913,0.5000753053716376,0.5250381095108172,0.413245592100172,59.68966655661935,0,RRab,CSS_J083404.6+124509
0.35342566428315625,RRc,0.5377821440913376,0.4454637170901133,0.4974976373680012,0.45334689423196106,0.35342566428315625,0.3897092128655533,0.42747497120306643,0.8033454385385715,0,RRc,CSS_J130333.6+154001
0.3967746120882466,RS CVn,0.41730111307137224,0.4356179678337054,0.5439420427187304,0.613204969636079,0.6308249789334768,0.5998061496187185,0.3967746120882466,39.92516782216353,0,EW,CSS_J072817.1+373857
0.4259707374757458,EW,0.5722907606402988,0.4259707374757458,0.5861990989378056,0.6293412160043699,0.6014697173228681,0.5940619592626553,0.4834061502905262,70.35325189831627,0,EW,CSS_J103638.1+030423
0.35414481654038127,RRc,0.5500919164574497,0.44670826750216686,0.4954858327256597,0.4220055337926613,0.35414481654038127,0.3891256043926545,0.4400650397003253,0.935402222955871,0,RRc,CSS_J142853.6-111124
0.38341373981222093,RS CVn,0.5076887111606755,0.4041747769724589,0.5200773565383044,0.5918390826025235,0.5674296794384597,0.5674838049560789,0.38341373981222093,20.93100033014196,0,EW,CSS_J035308.1-024445
0.44575506400007825,EA,0.44575506400007825,0.46581141407829035,0.537506118795698,0.6050333199048831,0.635145328938033,0.5617742091838388,0.4991746509114634,82.12831517552547,0,EW,CSS_J232838.0+400336
0.4472846504276425,RS CVn,0.5298314788885083,0.46449760207462615,0.5976986072535216,0.629887216409147,0.6018664287233331,0.6245426546437727,0.4472846504276425,82.85462748982061,0,EW,CSS_J090504.5+351854
0.41243111347547984,RS CVn,0.5587345605465323,0.5055158904384384,0.5122918420957259,0.5551756640876528,0.4872025267194147,0.44925506933807907,0.41243111347547984,58.864311654011225,0,RS CVn,CSS_J053058.0-034529
0.4105169991131955,EA,0.4105169991131955,0.4195292561190971,0.527560292042036,0.5932005364975522,0.5831977100357801,0.5364043422728684,0.41616587352487555,56.97149774402993,0,EW,CSS_J014920.7+251349
0.4049237701353023,LPV,0.7167642987811219,0.7101042342460515,0.4049237701353023,0.6890688600317636,0.7143467494947943,0.685640922718025,0.6932491225225943,50.52272477165181,0,LPV,CSS_J105356.1-135020
0.3742703417492045,RS CVn,0.5486338072965261,0.5103523558100874,0.47595059541403534,0.5683186983807182,0.5635551799324647,0.5580077428493816,0.3742703417492045,10.256410256410255,0,RS CVn,CSS_J170752.8+413315
0.4922369820298227,EW,0.5388537324431228,0.4922369820298227,0.5772072859986371,0.5997105621675172,0.6574071546217851,0.632118706318488,0.5701602895732226,94.35457246616045,0,EW,CSS_J054257.5-123940
0.3619919931539158,RS CVn,0.553491410689438,0.5240013303852804,0.47002955805451685,0.5824487673132058,0.5689762016340326,0.5528640146566998,0.3619919931539158,2.8942445251458127,0,RS CVn,CSS_J164633.5+051427
0.42554231534567455,RRab,0.6024493904682804,0.5465797055587502,0.5263223359025612,0.42554231534567455,0.5752615859442322,0.5597078275683123,0.5324946300455072,70.10014306151645,0,RRab,CSS_J213424.1+094601
0.4649540934916342,EW,0.586937809619022,0.4649540934916342,0.5847724331451943,0.6044706966924732,0.6316607347326803,0.629020105834731,0.5723430493097921,88.87421591284253,0,EW,CSS_J082957.9+175739
0.43490008571109945,RRab,0.5097069907355348,0.4979746971869372,0.4681941050750532,0.43490008571109945,0.5320076507656506,0.468701893990028,0.4713478264977611,76.70298228238143,0,RRab,CSS_J201309.7-133403
0.43660508916721885,LPV,0.5652399887727121,0.49074371045785675,0.43660508916721885,0.44537711152542964,0.4493389315349947,0.4430225759787788,0.4518692448051601,77.74843182568505,0,RRc,CSS_J074530.0+372258
0.41436312070374354,RS CVn,0.44050343417762095,0.4285625089952512,0.5598261353342273,0.6219852003434762,0.6399050410963957,0.5884229644882161,0.41436312070374354,60.83415868823594,0,EW,CSS_J034021.1-144648
0.391799902981297,EA,0.391799902981297,0.47731581781206045,0.5514326409778192,0.5955098076561669,0.6448329355359682,0.5938255911024644,0.45595447232864694,32.79410146362936,0,EA,CSS_J172318.3+315245
0.3966087669438984,RS CVn,0.5551817739157601,0.5356721098701931,0.5063383900531213,0.6265584655517893,0.6369333664000191,0.5935236434034671,0.3966087669438984,39.66105425332893,0,RS CVn,CSS_J165242.9+073623
0.36307808431363575,RRd,0.522212818066501,0.4383979091671142,0.47839336662523557,0.4100385157972539,0.37954124220368696,0.36307808431363575,0.39880926568789693,3.224386486189061,0,RRd,CSS_J154619.1+363404
0.39344105966113646,EW,0.516440318468261,0.39344105966113646,0.5069019870578261,0.5362204224618378,0.6114876450749963,0.571545800521846,0.48315944769838426,35.21514251127985,0,EW,CSS_J072339.0+295500
0.3937142677042083,RRd,0.5181920143940513,0.4501474197240056,0.5072397150819481,0.46788329851217,0.43713203270476686,0.3937142677042083,0.42289218144122764,35.501265544183994,0,RRc,CSS_J125741.5-082900
0.4172361889535734,EA,0.4172361889535734,0.5419076208077221,0.565876244561336,0.6148180237359616,0.6609190008039607,0.607791085110225,0.5209150017405173,63.46428964454716,0,EW,CSS_J015733.5+375717
0.40601126222170336,EW,0.5212828155771978,0.40601126222170336,0.5555708069371178,0.6069652397371698,0.5805341703252707,0.5380294484405825,0.4671014902190489,51.95333993617255,0,EW,CSS_J045031.6+033737
0.39388535702964395,EW,0.5034166341512342,0.39388535702964395,0.5377304662767156,0.5743649647592151,0.5705085652336147,0.5053843045239891,0.4425171423835701,35.842412237262025,0,EW,CSS_J100810.9+605837
0.3676506384357775,RS CVn,0.48756210677073714,0.38589584736009497,0.521758221367429,0.569295655077558,0.514100662175172,0.5471077133488318,0.3676506384357775,5.161219324309453,0,EW,CSS_J073437.3+532334
0.3478543110456876,RRc,0.5386796559944702,0.43636646746593044,0.48886872545308446,0.43878947327249535,0.3478543110456876,0.38226948126683197,0.4216847238750099,0.1650709805216243,0,RRc,CSS_J215117.9-131022
