clase_real,n,detectados,recall
EA_UP,141,57,0.40425531914893614
PCEB,77,31,0.4025974025974026
Cep-II,108,19,0.17592592592592593
ACEP,57,9,0.15789473684210525
LADS,7,1,0.14285714285714285
Beta_Lyrae,261,29,0.1111111111111111
Hump,23,2,0.08695652173913043
Blazhko,61,4,0.06557377049180328
HADS,202,12,0.0594059405940594
ELL,150,7,0.04666666666666667
