clase_real,n,detectados,recall
PCEB,77,32,0.4155844155844156
EA_UP,141,34,0.24113475177304963
Hump,23,4,0.17391304347826086
LADS,7,1,0.14285714285714285
Cep-II,108,11,0.10185185185185185
Beta_Lyrae,261,26,0.09961685823754789
HADS,202,9,0.04455445544554455
ELL,150,6,0.04
ACEP,57,2,0.03508771929824561
Blazhko,61,1,0.01639344262295082
