fp_objetivo,umbral_score,fp_real,recall_anom
0.01,0.5477954291857922,0.01,0.03955841766329347
0.02,0.5201643445679777,0.02,0.06991720331186753
0.05,0.48448086134675794,0.05,0.16375344986200552
0.1,0.4563171193496313,0.1,0.2778288868445262
0.2,0.4279408703323982,0.2,0.4093836246550138
