clase_real,n,detectados,recall
PCEB,77,20,0.2597402597402597
EA_UP,141,19,0.1347517730496454
Beta_Lyrae,261,17,0.06513409961685823
ELL,150,8,0.05333333333333334
Blazhko,61,3,0.04918032786885246
Hump,23,1,0.043478260869565216
Cep-II,108,2,0.018518518518518517
HADS,202,1,0.0049504950495049506
ACEP,57,0,0.0
LADS,7,0,0.0
