experimento,features,objetos_train,objetos_test,RF_ACC,RF_BAL,LOG_ACC,LOG_BAL
NIVEL FOTOMETRICO,5,25000,8000,0.7535,0.42366761070855163,0.372125,0.6119065054952494
DISPERSION,6,25000,8000,0.77575,0.4728398498287389,0.444,0.6095038522101317
ASIMETRIA_FORMA,2,25000,8000,0.678375,0.2603840188483037,0.221625,0.3334758806416214
VARIABILIDAD,6,25000,8000,0.8285,0.5470961606703525,0.598875,0.6877002991972407
INCERTIDUMBRE,3,25000,8000,0.6855,0.2352119694298944,0.16975,0.36657838204484045
OBSERVACIONES_CADENCIA,4,25000,8000,0.60725,0.1707680606502289,0.154,0.1688488687223932
TODAS_ESTADISTICAS,26,25000,8000,0.851875,0.6002060334054838,0.6815,0.7411776518084251
ESTADISTICAS_NORMALIZADAS,21,25000,8000,0.856125,0.6208892515829589,0.6835,0.7438995412695536
ETIQUETAS_ALEATORIAS,21,25000,8000,0.675,0.14298173595488126,0.04425,0.09899358931434607
