feature,importance
period,0.16202942740643048
g_skew,0.09120198250244053
r_skew,0.08126674582619589
g_mad,0.06344069219044524
g_iqr,0.044292639862002485
g_range_10_90,0.042430736283375604
r_mad,0.03945441419980718
g_std,0.03814819030478938
r_iqr,0.03295647322331989
g_amplitude,0.032531224156275344
r_std,0.030276933460253612
r_range_10_90,0.02974237735401026
r_amplitude,0.02686103958163901
i_skew,0.01086193238396907
r_p10,0.009862438286628071
r_median,0.00983129981620058
g_slope,0.009117961565325952
r_mean,0.008999119723849083
r_p75,0.00871938428078736
g_p10,0.00860541559686181
r_slope,0.008174077687875885
g_err_std,0.008152630318061033
r_p25,0.007973412512354098
g_mean,0.007937183714460186
r_p90,0.007634940436872777
g_p75,0.007504364814813795
g_median,0.007363868595899212
r_err_median,0.007291530774985064
g_p25,0.007210784146547036
r_err_std,0.007164004463377482
g_p90,0.0071468452913020465
r_err_mean,0.006785973040464554
g_err_median,0.006532822106936646
g_err_mean,0.006454388985041543
i_std,0.0061034859392134965
g_baseline,0.0057237642788891315
r_baseline,0.005486798022033703
r_cadence_mean,0.0054768117874986885
i_amplitude,0.0054391399280165655
r_cadence_median,0.005403096924297219
g_cadence_median,0.005292659564644037
r_cadence_std,0.005242824641249982
i_mad,0.005220720827833362
r_n,0.0051544530203771225
i_range_10_90,0.005101356349138356
i_iqr,0.004758316644577166
g_cadence_mean,0.004652613884081818
g_cadence_std,0.004546989884307942
g_n,0.004378920151957564
i_slope,0.00292589714045615
i_cadence_median,0.002761280363398526
i_err_std,0.0026916649267499505
i_p10,0.002682460074824536
i_baseline,0.002656213322457165
i_p25,0.0026121739261246784
i_p75,0.002559083001272891
i_median,0.002548008903312994
i_mean,0.0025061976446023996
i_err_mean,0.0024956526240199227
i_err_median,0.0024615334964277332
i_p90,0.00239188678079807
i_cadence_mean,0.002287130033373207
i_cadence_std,0.0022760184786724397
i_n,0.002205592541795025
