eta_almacenamiento,eta_temporal_real,diferencia_absoluta
1.4655733596639797,1.4655733596639797,0.0
1.0604144663097126,1.0604144663097126,0.0
1.1025853837050443,1.1025853837050443,0.0
1.5111557204065564,1.5111557204065564,0.0
1.369946004140657,1.369946004140657,0.0
1.878813177995854,1.878813177995854,0.0
1.1374877473500151,1.1374877473500151,0.0
0.330019701053061,0.330019701053061,0.0
0.9406841283592579,0.9406841283592579,0.0
1.8715216755047452,1.8715216755047452,0.0
1.2721334412577572,1.2721334412577572,0.0
1.390089468095282,1.390089468095282,0.0
1.510372468561955,1.510372468561955,0.0
1.577652189114323,1.577652189114323,0.0
1.0591730599090532,1.0591730599090532,0.0
1.4622050151074646,1.4622050151074646,0.0
2.0625985432989262,2.0625985432989262,0.0
1.7989609345042223,1.7989609345042223,0.0
1.1708462014576106,1.1708462014576106,0.0
0.21863175729719336,0.21863175729719336,0.0
0.5212946666154602,0.5212946666154602,0.0
1.7159849169795407,1.7159849169795407,0.0
0.5182624353478251,0.5182624353478251,0.0
1.5752521609080221,1.5752521609080221,0.0
1.261329520517104,1.261329520517104,0.0
1.263109565563575,1.263109565563575,0.0
0.4330595088824912,0.4330595088824912,0.0
1.4872730457875838,1.4872730457875838,0.0
1.3985400830587247,1.3985400830587247,0.0
0.7813136835957656,0.7813136835957656,0.0
1.342077838390407,1.342077838390407,0.0
0.896010712466114,0.896010712466114,0.0
1.551594476749509,1.551594476749509,0.0
1.1925729042131192,1.1925729042131192,0.0
1.7182284708387294,1.7182284708387294,0.0
1.4838041597690501,1.4838041597690501,0.0
1.3496064947343582,1.3496064947343582,0.0
1.2561826724399874,1.2561826724399874,0.0
0.0561712391504963,0.0561712391504963,0.0
1.2639081876261422,1.2639081876261422,0.0
1.7153557160525643,1.7153557160525643,0.0
1.8724913776901275,1.8724913776901275,0.0
1.3656170919757837,1.3656170919757837,0.0
2.1497964346349074,2.1497964346349074,0.0
1.5535634679447197,1.5535634679447197,0.0
1.5483909798593662,1.5483909798593662,0.0
1.8148365269376279,1.8148365269376279,0.0
1.7480199890203232,1.7480199890203232,0.0
1.4881896167906348,1.4881896167906348,0.0
1.3739949345969544,1.3739949345969544,0.0
1.3513219727365882,1.3513219727365882,0.0
1.437233904945702,1.437233904945702,0.0
1.7972004687030116,1.7972004687030116,0.0
0.9775499211310898,0.9775499211310898,0.0
1.4801047104951206,1.4801047104951206,0.0
1.7219277219538052,1.7219277219538052,0.0
1.5803021015481045,1.5803021015481045,0.0
1.0443308457783569,1.0443308457783569,0.0
1.8951481727134973,1.8951481727134973,0.0
1.729338750091796,1.729338750091796,0.0
1.2334706668871325,1.2334706668871325,0.0
1.118518437102619,1.118518437102619,0.0
1.1034308587909503,1.1034308587909503,0.0
1.7185906834114835,1.7185906834114835,0.0
1.0363256231649638,1.0363256231649638,0.0
1.4157663000579364,1.4157663000579364,0.0
1.2314983100807444,1.2314983100807444,0.0
1.8312545281489616,1.8312545281489616,0.0
1.401301172140315,1.401301172140315,0.0
1.0929174653302869,1.0929174653302869,0.0
1.772447514253037,1.772447514253037,0.0
0.8809334971281639,0.8809334971281639,0.0
1.4555922942800152,1.4555922942800152,0.0
1.3477547263779293,1.3477547263779293,0.0
1.4316631136743905,1.4316631136743905,0.0
1.198864874827523,1.198864874827523,0.0
0.7076863640805753,0.7076863640805753,0.0
1.3165176696615264,1.3165176696615264,0.0
1.4469914922372493,1.4469914922372493,0.0
1.4361057623332334,1.4361057623332334,0.0
1.3268676814663303,1.3268676814663303,0.0
0.7585047308373253,0.7585047308373253,0.0
1.622147888197817,1.622147888197817,0.0
1.7115102717671895,1.7115102717671895,0.0
1.19428850033536,1.19428850033536,0.0
2.056751831918375,2.056751831918375,0.0
1.794260466052809,1.794260466052809,0.0
1.6217004234911268,1.6217004234911268,0.0
1.5335410176081856,1.5335410176081856,0.0
1.1225064343489881,1.1225064343489881,0.0
1.308967589746791,1.308967589746791,0.0
1.0109768434972497,1.0109768434972497,0.0
1.2004703262283412,1.2004703262283412,0.0
0.8373077308159101,0.8373077308159101,0.0
1.3450977635845014,1.3450977635845014,0.0
1.9743501663982495,1.9743501663982495,0.0
0.185822016909218,0.185822016909218,0.0
1.510324593065219,1.510324593065219,0.0
1.2049404175389649,1.2049404175389649,0.0
1.6437602955967405,1.6437602955967405,0.0
1.4701341711309504,1.4701341711309504,0.0
0.5580004338975479,0.5580004338975479,0.0
1.324120849495003,1.324120849495003,0.0
1.4088413451118944,1.4088413451118944,0.0
1.8985624257471747,1.8985624257471747,0.0
1.420935644902229,1.420935644902229,0.0
1.6099426669509378,1.6099426669509378,0.0
0.8519301706543446,0.8519301706543446,0.0
0.9791382880385909,0.9791382880385909,0.0
1.5019036025198935,1.5019036025198935,0.0
1.383653984063676,1.383653984063676,0.0
1.5483518135266294,1.5483518135266294,0.0
1.4661995624249704,1.4661995624249704,0.0
1.979681105112146,1.979681105112146,0.0
0.311759492534075,0.311759492534075,0.0
1.7056318070146894,1.7056318070146894,0.0
1.5800169337124648,1.5800169337124648,0.0
1.1950473074596184,1.1950473074596184,0.0
1.3452208215759325,1.3452208215759325,0.0
0.751667570262374,0.751667570262374,0.0
0.8527399910211048,0.8527399910211048,0.0
1.6326780770453402,1.6326780770453402,0.0
1.1382968465455587,1.1382968465455587,0.0
1.2361616766747943,1.2361616766747943,0.0
1.7861090025433275,1.7861090025433275,0.0
1.504533941703447,1.504533941703447,0.0
1.066076900371676,1.066076900371676,0.0
1.7440285794652783,1.7440285794652783,0.0
1.3893279447170128,1.3893279447170128,0.0
1.6414775093950886,1.6414775093950886,0.0
1.6391468735377634,1.6391468735377634,0.0
1.7661697678534256,1.7661697678534256,0.0
1.5010488907477366,1.5010488907477366,0.0
1.5720952424640693,1.5720952424640693,0.0
1.0969183941034668,1.0969183941034668,0.0
0.8685053990874085,0.8685053990874085,0.0
1.1749556783102952,1.1749556783102952,0.0
2.059260385498626,2.059260385498626,0.0
1.325741182969911,1.325741182969911,0.0
1.2768148674215622,1.2768148674215622,0.0
1.6974975714379623,1.6974975714379623,0.0
1.3468856453356945,1.3468856453356945,0.0
1.210387293431643,1.210387293431643,0.0
1.7328792321399038,1.7328792321399038,0.0
1.1868974453588774,1.1868974453588774,0.0
1.6020310751388924,1.6020310751388924,0.0
1.0752861661301447,1.0752861661301447,0.0
1.7129125479812546,1.7129125479812546,0.0
1.5578020119065885,1.5578020119065885,0.0
1.8120756213691094,1.8120756213691094,0.0
1.6534071076915478,1.6534071076915478,0.0
0.6772303001842517,0.6772303001842517,0.0
0.8260622790691068,0.8260622790691068,0.0
1.1836963629321189,1.1836963629321189,0.0
0.7452413574874908,0.7452413574874908,0.0
1.8903841783660214,1.8903841783660214,0.0
1.9591432984451655,1.9591432984451655,0.0
1.3762250479747118,1.3762250479747118,0.0
1.397552782725093,1.397552782725093,0.0
1.1404546214421447,1.1404546214421447,0.0
1.4575600578813384,1.4575600578813384,0.0
1.498099033442139,1.498099033442139,0.0
1.3989883437416732,1.3989883437416732,0.0
1.305602015074852,1.305602015074852,0.0
0.9181705318402434,0.9181705318402434,0.0
1.536409847740755,1.536409847740755,0.0
1.084888544834152,1.084888544834152,0.0
0.9275565560384066,0.9275565560384066,0.0
0.605301565317539,0.605301565317539,0.0
1.3999950316063337,1.3999950316063337,0.0
0.1108346285409795,0.1108346285409795,0.0
1.6271788280925201,1.6271788280925201,0.0
1.2034165787924729,1.2034165787924729,0.0
1.4134077045102873,1.4134077045102873,0.0
0.5887277323706841,0.5887277323706841,0.0
1.6023484268414276,1.6023484268414276,0.0
1.6169248380817383,1.6169248380817383,0.0
1.010587052572561,1.010587052572561,0.0
1.4217612688799195,1.4217612688799195,0.0
1.7823338798447312,1.7823338798447312,0.0
2.0197044175060044,2.0197044175060044,0.0
1.1845699741705982,1.1845699741705982,0.0
1.3370394880361018,1.3370394880361018,0.0
2.1196662335188967,2.1196662335188967,0.0
1.3050403161896036,1.3050403161896036,0.0
1.4245066254887262,1.4245066254887262,0.0
1.1166669263557598,1.1166669263557598,0.0
1.5234587294275257,1.5234587294275257,0.0
0.6808786777935865,0.6808786777935865,0.0
1.2832377722799064,1.2832377722799064,0.0
1.3025628735266284,1.3025628735266284,0.0
0.7818482519280621,0.7818482519280621,0.0
1.3572903007954689,1.3572903007954689,0.0
1.660791979228796,1.660791979228796,0.0
1.741141891320521,1.741141891320521,0.0
1.026320587814489,1.026320587814489,0.0
