n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
768,0,768,False,294
928,0,928,False,89
742,0,742,False,255
490,0,490,False,37
300,0,300,False,34
594,0,594,False,115
1814,0,1814,False,740
183,0,183,False,2
551,0,551,False,81
1214,0,1214,False,296
536,0,536,False,79
327,0,327,False,15
281,0,281,False,29
273,0,273,False,36
1032,0,1032,False,102
288,0,288,False,38
634,0,634,False,99
716,0,716,False,201
122,0,122,False,0
30,0,30,False,7
838,0,838,False,319
215,0,215,False,11
722,0,722,False,282
181,0,181,False,2
219,0,219,False,33
286,0,286,False,6
1152,0,1152,False,381
455,0,455,False,23
48,0,48,False,15
242,0,242,False,5
508,0,508,False,54
45,0,45,False,18
304,0,304,False,19
311,0,311,False,35
689,0,689,False,121
869,0,869,False,265
413,0,413,False,16
533,0,533,False,63
377,0,377,False,29
1046,0,1046,False,601
293,0,293,False,26
508,0,508,False,96
467,0,467,False,91
53,0,53,False,0
1166,0,1166,False,335
155,0,155,False,3
70,0,70,False,19
190,0,190,False,2
1034,0,1034,False,375
326,0,326,False,19
219,0,219,False,2
210,0,210,False,2
297,0,297,False,9
175,0,175,False,7
350,0,350,False,11
38,0,38,False,11
952,0,952,False,74
229,0,229,False,8
935,0,935,False,156
311,0,311,False,49
2203,0,2203,False,492
1089,0,1089,False,393
626,0,626,False,110
47,0,47,False,1
464,0,464,False,29
984,0,984,False,130
354,0,354,False,7
294,0,294,False,23
150,0,150,False,2
342,0,342,False,50
1013,0,1013,False,290
765,0,765,False,259
580,0,580,False,92
293,0,293,False,24
855,0,855,False,61
801,0,801,False,126
232,0,232,False,21
514,0,514,False,58
253,0,253,False,11
370,0,370,False,28
292,0,292,False,20
1111,0,1111,False,96
47,0,47,False,15
951,0,951,False,73
325,0,325,False,9
468,0,468,False,54
355,0,355,False,21
93,0,93,False,0
1034,0,1034,False,87
1125,0,1125,False,490
172,0,172,False,0
70,0,70,False,19
337,0,337,False,17
335,0,335,False,41
259,0,259,False,42
470,1,469,True,253
785,0,785,False,72
405,0,405,False,36
861,0,861,False,48
665,0,665,False,237
205,0,205,False,10
269,0,269,False,5
581,0,581,False,151
39,0,39,False,12
142,0,142,False,5
506,0,506,False,66
378,0,378,False,41
