mjd_repetido,n_puntos_en_grupo,target_min,target_max,target_rango,conjunto,fila
58423.50390625,2,14.34076976776123,14.358627319335938,0.01785755157470703,TRAIN,0
58426.54296875,2,14.358242988586426,14.366412162780762,0.008169174194335938,TRAIN,0
58432.50390625,2,14.341436386108398,14.36385726928711,0.022420883178710938,TRAIN,0
58438.515625,2,14.306246757507324,14.323951721191406,0.01770496368408203,TRAIN,0
58447.421875,2,14.289935111999512,14.30081558227539,0.010880470275878906,TRAIN,0
58465.48828125,2,14.473380088806152,14.486868858337402,0.01348876953125,TRAIN,0
58472.43359375,2,14.284784317016602,14.29673957824707,0.01195526123046875,TRAIN,0
58509.29296875,2,14.35970401763916,14.380329132080078,0.02062511444091797,TRAIN,0
58771.48828125,2,14.271551132202148,14.31745433807373,0.04590320587158203,TRAIN,0
58783.5234375,2,14.384316444396973,14.387625694274902,0.0033092498779296875,TRAIN,0
58833.4140625,2,14.373078346252441,14.378652572631836,0.005574226379394531,TRAIN,0
58884.21875,2,14.427244186401367,14.488460540771484,0.06121635437011719,TRAIN,0
58891.28125,2,14.360836029052734,14.374545097351074,0.013709068298339844,TRAIN,0
58894.2578125,2,14.363019943237305,14.388802528381348,0.02578258514404297,TRAIN,0
58898.30078125,2,14.444676399230957,14.451147079467773,0.006470680236816406,TRAIN,0
58904.21484375,2,14.406063079833984,14.414761543273926,0.008698463439941406,TRAIN,0
58967.1640625,2,14.418893814086914,14.467998504638672,0.04910469055175781,TRAIN,0
59134.51171875,2,14.300973892211914,14.337933540344238,0.03695964813232422,TRAIN,0
59180.43359375,2,14.405451774597168,14.411824226379395,0.0063724517822265625,TRAIN,0
59181.36328125,2,14.439284324645996,14.52552318572998,0.08623886108398438,TRAIN,0
59182.38671875,2,14.292741775512695,14.325560569763184,0.03281879425048828,TRAIN,0
59193.37890625,2,14.327374458312988,14.374462127685547,0.047087669372558594,TRAIN,0
59194.3515625,2,14.32126522064209,14.333236694335938,0.011971473693847656,TRAIN,0
59210.33203125,2,14.299400329589844,14.309392929077148,0.009992599487304688,TRAIN,0
59225.3125,2,14.446734428405762,14.448906898498535,0.0021724700927734375,TRAIN,0
59226.41796875,2,14.338643074035645,14.372336387634277,0.03369331359863281,TRAIN,0
59227.3359375,2,14.41602611541748,14.454219818115234,0.038193702697753906,TRAIN,0
59230.375,2,14.326354026794434,14.343560218811035,0.017206192016601562,TRAIN,0
59248.38671875,2,14.340826988220215,14.354255676269531,0.013428688049316406,TRAIN,0
59249.34375,2,14.390284538269043,14.413278579711914,0.022994041442871094,TRAIN,0
