n_puntos,ya_ordenado,n_inversiones,n_empates_temporales,frac_inversiones
326,True,0,38,0.0
444,True,0,58,0.0
81,True,0,22,0.0
270,True,0,9,0.0
552,True,0,77,0.0
271,True,0,32,0.0
152,True,0,5,0.0
264,True,0,28,0.0
292,True,0,7,0.0
877,True,0,190,0.0
813,True,0,142,0.0
777,True,0,135,0.0
234,True,0,49,0.0
618,True,0,74,0.0
1309,True,0,140,0.0
427,True,0,48,0.0
223,True,0,6,0.0
477,True,0,48,0.0
756,True,0,124,0.0
148,True,0,3,0.0
980,True,0,83,0.0
185,True,0,9,0.0
409,True,0,81,0.0
582,True,0,68,0.0
595,True,0,147,0.0
693,True,0,116,0.0
462,True,0,193,0.0
135,True,0,28,0.0
1126,True,0,320,0.0
213,True,0,2,0.0
554,True,0,81,0.0
685,True,0,91,0.0
329,True,0,162,0.0
119,True,0,6,0.0
425,True,0,77,0.0
563,True,0,92,0.0
394,True,0,48,0.0
337,True,0,18,0.0
95,True,0,37,0.0
215,True,0,22,0.0
398,True,0,55,0.0
714,True,0,282,0.0
472,True,0,30,0.0
589,True,0,60,0.0
360,True,0,9,0.0
1134,True,0,291,0.0
1240,True,0,102,0.0
52,True,0,23,0.0
205,True,0,2,0.0
929,True,0,104,0.0
75,True,0,23,0.0
323,True,0,8,0.0
2439,True,0,656,0.0
934,True,0,341,0.0
230,True,0,5,0.0
52,True,0,16,0.0
51,True,0,16,0.0
390,True,0,29,0.0
579,True,0,198,0.0
62,True,0,0,0.0
453,True,0,24,0.0
273,True,0,4,0.0
559,True,0,79,0.0
46,True,0,10,0.0
612,True,0,240,0.0
642,True,0,89,0.0
593,True,0,55,0.0
457,True,0,62,0.0
1597,True,0,370,0.0
589,True,0,100,0.0
218,True,0,2,0.0
505,True,0,39,0.0
450,True,0,25,0.0
258,True,0,15,0.0
670,True,0,81,0.0
1017,True,0,296,0.0
357,True,0,58,0.0
358,True,0,10,0.0
369,True,0,10,0.0
208,True,0,34,0.0
65,True,0,17,0.0
878,True,0,105,0.0
37,True,0,13,0.0
174,True,0,0,0.0
465,True,0,56,0.0
367,True,0,52,0.0
324,True,0,71,0.0
265,True,0,10,0.0
495,True,0,31,0.0
79,True,0,17,0.0
215,True,0,47,0.0
452,True,0,22,0.0
257,True,0,3,0.0
1009,True,0,666,0.0
1174,True,0,115,0.0
1182,True,0,304,0.0
1169,True,0,383,0.0
628,True,0,130,0.0
1478,True,0,433,0.0
639,True,0,239,0.0
526,True,0,85,0.0
359,True,0,35,0.0
199,True,0,1,0.0
518,True,0,79,0.0
360,True,0,8,0.0
685,True,0,156,0.0
48,True,0,17,0.0
92,True,0,35,0.0
374,True,0,71,0.0
456,True,0,57,0.0
620,True,0,222,0.0
977,True,0,90,0.0
662,True,0,173,0.0
696,True,0,88,0.0
171,True,0,1,0.0
1280,True,0,565,0.0
134,True,0,26,0.0
423,True,0,74,0.0
140,True,0,3,0.0
87,True,0,7,0.0
489,True,0,68,0.0
1025,True,0,81,0.0
667,True,0,92,0.0
51,True,0,16,0.0
1272,True,0,322,0.0
52,True,0,17,0.0
268,True,0,9,0.0
334,True,0,33,0.0
797,True,0,118,0.0
568,True,0,64,0.0
1163,True,0,183,0.0
674,True,0,87,0.0
828,True,0,140,0.0
276,True,0,38,0.0
386,True,0,53,0.0
692,True,0,82,0.0
97,True,0,33,0.0
47,True,0,18,0.0
158,True,0,3,0.0
378,True,0,53,0.0
640,True,0,87,0.0
580,True,0,136,0.0
1159,True,0,302,0.0
1002,True,0,84,0.0
124,True,0,3,0.0
429,True,0,47,0.0
503,True,0,103,0.0
520,True,0,70,0.0
579,True,0,137,0.0
327,True,0,24,0.0
966,True,0,79,0.0
770,True,0,255,0.0
265,True,0,26,0.0
1110,True,0,98,0.0
1244,True,0,104,0.0
1502,True,0,482,0.0
449,True,0,25,0.0
288,True,0,20,0.0
406,True,0,42,0.0
573,True,0,135,0.0
110,True,0,47,0.0
248,True,0,15,0.0
251,True,0,32,0.0
339,True,0,7,0.0
316,True,0,38,0.0
72,True,0,21,0.0
815,True,0,289,0.0
500,True,0,81,0.0
678,True,0,261,0.0
339,True,0,41,0.0
260,True,0,1,0.0
1085,True,0,65,0.0
291,True,0,6,0.0
590,True,0,92,0.0
162,True,0,1,0.0
532,True,0,63,0.0
373,True,0,7,0.0
53,True,0,10,0.0
474,True,0,82,0.0
636,True,0,78,0.0
1402,True,0,389,0.0
814,True,0,83,0.0
209,True,0,14,0.0
116,True,0,57,0.0
339,True,0,27,0.0
809,True,0,119,0.0
377,True,0,44,0.0
849,True,0,141,0.0
127,True,0,7,0.0
578,True,0,72,0.0
507,True,0,67,0.0
750,True,0,123,0.0
386,True,0,30,0.0
225,True,0,12,0.0
447,True,0,36,0.0
1108,True,0,386,0.0
379,True,0,36,0.0
272,True,0,14,0.0
401,True,0,104,0.0
2412,True,0,654,0.0
860,True,0,324,0.0
154,True,0,3,0.0
39,True,0,12,0.0
678,True,0,475,0.0
50,True,0,13,0.0
493,True,0,37,0.0
424,True,0,19,0.0
376,True,0,34,0.0
172,True,0,1,0.0
287,True,0,4,0.0
724,True,0,191,0.0
302,True,0,18,0.0
1288,True,0,134,0.0
595,True,0,66,0.0
721,True,0,124,0.0
327,True,0,8,0.0
1051,True,0,97,0.0
231,True,0,6,0.0
641,True,0,85,0.0
1116,True,0,288,0.0
156,True,0,57,0.0
540,True,0,46,0.0
1077,True,0,474,0.0
165,True,0,111,0.0
1303,True,0,339,0.0
739,True,0,260,0.0
959,True,0,279,0.0
596,True,0,76,0.0
844,True,0,69,0.0
107,True,0,3,0.0
572,True,0,135,0.0
1104,True,0,270,0.0
531,True,0,61,0.0
1103,True,0,101,0.0
277,True,0,34,0.0
694,True,0,157,0.0
251,True,0,24,0.0
845,True,0,187,0.0
72,True,0,21,0.0
275,True,0,4,0.0
190,True,0,3,0.0
499,True,0,57,0.0
165,True,0,5,0.0
341,True,0,41,0.0
537,True,0,40,0.0
854,True,0,326,0.0
275,True,0,3,0.0
351,True,0,57,0.0
320,True,0,15,0.0
231,True,0,7,0.0
1144,True,0,100,0.0
466,True,0,44,0.0
201,True,0,3,0.0
334,True,0,34,0.0
449,True,0,79,0.0
206,True,0,2,0.0
227,True,0,11,0.0
489,True,0,86,0.0
416,True,0,14,0.0
1014,True,0,295,0.0
269,True,0,5,0.0
524,True,0,39,0.0
978,True,0,73,0.0
384,True,0,47,0.0
