grupo,N,skew_media,eta_media,inter_percentile_range_25_media,standard_deviation_media,median_absolute_deviation_media,stetson_K_media
<100,798,0.5413662543307759,1.3655647613292368,0.2970407721691562,0.1279392785199632,0.08045092859961335,0.834976595892101
100-249,1223,0.46581337301008013,1.595310050189299,0.3474673937308623,0.14674518891968988,0.0982828935637205,0.8411063033778056
250-499,2591,0.6392457669212237,1.4805206342458457,0.3085708712022399,0.13352239237643615,0.08576454190571121,0.8256598854825311
500-999,2433,0.6823074630560185,1.2200450666835785,0.30724551204394474,0.1333123101590497,0.084226772317757,0.8252883912302443
>=1000,955,0.6998349968900295,1.0247239794088838,0.30218374853982977,0.13089185375607287,0.0821816753966646,0.825616455435237
