grupo,N,skew_media,eta_media,inter_percentile_range_25_media,standard_deviation_media,median_absolute_deviation_media,stetson_K_media
<100,798,0.5415217406883507,1.365430619803259,0.2970346178028518,0.1279416994054641,0.08047633601310558,0.8349739149011276
100-249,1223,0.46585504279013407,1.5953017057675705,0.3474451894167497,0.14674376653849802,0.0982855541825002,0.8411059505154898
250-499,2591,0.6392282182573877,1.4804812628026172,0.3085735089895763,0.13352595378459753,0.08576544920296708,0.8256599132309008
500-999,2433,0.6823100434766459,1.2200368763286062,0.30724329106659737,0.13331151241509884,0.08422688755830325,0.8252876011443765
>=1000,955,0.6998449547137301,1.0247168946210974,0.30218844214034957,0.13089175272981338,0.0821821622199413,0.8256171143498745
