class_str,poblacion_completa,subconjunto_actual,resto_no_usado
EA,0.1027300581815678,0.10388,0.09562638991845812
EW,0.6759045684580163,0.67408,0.687175685693106
LPV,0.011051055186422005,0.01124,0.009883864591055103
RRab,0.049953523599683275,0.04996,0.04991351618482827
RRc,0.11595001204943711,0.11668,0.11144057326414628
RRd,0.010603504664853514,0.01032,0.012354830738818878
RS CVn,0.03380727786001997,0.03384,0.03360513960958735
