grupo,N,eta_media_almacenamiento,eta_media_temporal_real
<100,798,1.365430619803259,1.365430619803259
100-249,1223,1.5953017057675705,1.5953017057675705
250-499,2591,1.4804812628026172,1.4804812628026172
500-999,2433,1.2200368763286062,1.2200368763286062
>=1000,955,1.0247168946210974,1.0247168946210974
