clase,n,score_if_medio,score_lof_medio,candidatos_fuertes
EA,814,0.47503425227595997,1.0868111709685369,3
EW,5414,0.3974658862684266,1.0852532269190782,15
LPV,87,0.6367418812671483,1.1276949534728367,5
RRab,394,0.44740044399408896,1.1263745767301174,2
RRc,934,0.39651378645392826,1.08939752084209,0
RRd,85,0.39557642261066617,1.104945695456113,0
RS CVn,272,0.4303115616773092,1.1811770714592142,1
