clase,n,score_if_medio,score_lof_medio,candidatos_fuertes
EA,814,0.47031347755779584,1.0875393489889338,3
EW,5414,0.3924990514524769,1.0862443126379906,12
LPV,87,0.6749200375555708,1.1461303397414557,4
RRab,394,0.4419414808062069,1.1270654297680789,1
RRc,934,0.3930820469465308,1.089531987453788,0
RRd,85,0.3938605465683073,1.1127627079677325,0
RS CVn,272,0.449987550762969,1.2152793351004914,4
