feature,min,max,media,std,nan,inf,validos,es_constante
amplitude,0.025499820709228516,3.704500198364258,0.4227759366985228,0.23335422997627342,0,0,406611,False
beyond_1_std,0.002463054144755006,0.5242967009544373,0.28301642680231187,0.027867514592247313,0,0,406611,False
beyond_2_std,0.0,0.11147540807723999,0.049530874491557395,0.009536327765329285,0,0,406611,False
cusum,0.02609691396355629,0.4516838788986206,0.11517138413963315,0.04239186262720586,0,0,406611,False
eta,0.03124491311609745,2.491170644760132,1.6821075913595622,0.24193927612122185,0,0,406611,False
eta_e,4174109.0,87307886592.0,7196859930.84965,5117879481.100549,0,0,406611,False
inter_percentile_range_25,0.008999824523925781,1.4354991912841797,0.16507566978531352,0.1028299251851637,0,0,406611,False
inter_percentile_range_10,0.01999950408935547,2.5445003509521484,0.3271821550989641,0.20112515639582418,0,0,406611,False
kurtosis,-1.7816553115844727,390.79071044921875,1.483445713413222,5.792647876803544,0,0,406611,False
linear_fit_slope,-0.05858057364821434,0.02884630113840103,3.6889999252288444e-06,0.0005440551167909587,0,0,406611,False
linear_fit_slope_sigma,9.232743650500197e-06,0.0008394774631597102,0.00015740434666726874,0.00011918987835642407,0,0,406611,False
linear_fit_reduced_chi2,0.44958773255348206,2121.007080078125,2.305185819830467,12.744358547329172,0,0,406611,False
linear_trend,-0.010614683851599693,0.012615817598998547,9.800228944174189e-06,0.00037483446637268623,0,0,406611,False
linear_trend_sigma,7.946038749651052e-06,0.0028777264524251223,0.00018217628544379096,0.00014455502855478675,0,0,406611,False
magnitude_percentage_ratio_40_5,0.009727850556373596,0.6930901408195496,0.14063259724779942,0.020583840234207767,0,0,406611,False
magnitude_percentage_ratio_20_10,0.08000051230192184,0.9243417382240295,0.6358092684460194,0.039054077362805265,0,0,406611,False
maximum_slope,10.922916412353516,3709.73486328125,327.6863524165358,189.62664663892542,0,0,406611,False
mean,12.062189102172852,21.399803161621094,19.55250357738833,1.7021909385293308,0,0,406611,False
median_absolute_deviation,0.0049991607666015625,0.7269992828369141,0.08207880807626364,0.050841808591399675,0,0,406611,False
median_buffer_range_percentage_5,0.6497461795806885,1.0,0.9996033104358215,0.0049163369693522,0,0,406611,False
percent_amplitude,0.026999473571777344,6.9735002517700195,0.49368624293621316,0.2949726186895116,0,0,406611,False
percent_difference_magnitude_percentile_5,0.0017939440440386534,0.1624596118927002,0.021414622960124488,0.012555458733218823,0,0,406611,False
percent_difference_magnitude_percentile_20,0.0008520373958162963,0.08989007025957108,0.010207834744487969,0.006089127747214939,0,0,406611,False
period_0,0.020671652629971504,400.4185485839844,20.96482742055381,48.5173160843885,0,0,406611,False
period_s_to_n_0,2.956343173980713,58.791961669921875,12.076339691803119,5.165389107509401,0,0,406611,False
period_1,0.02097831666469574,452.79925537109375,17.49993827652436,48.18135940996129,0,0,406611,False
period_s_to_n_1,2.200505018234253,56.522945404052734,11.183707132199832,5.213724839134191,0,0,406611,False
period_2,0.021769894286990166,402.0647277832031,13.944120227445747,43.088349425065516,0,0,406611,False
period_s_to_n_2,1.870725393295288,51.48412322998047,10.448496544018184,5.027548000323252,0,0,406611,False
periodogram_amplitude,0.7837474346160889,94.23243713378906,5.770164397851733,3.6789227429564795,0,0,406611,False
periodogram_beyond_1_std,0.0141143798828125,0.44828033447265625,0.11535159792600189,0.014321895420751699,0,0,406611,False
periodogram_beyond_2_std,0.003875732421875,0.072265625,0.04555457000780081,0.0060066019210030875,0,0,406611,False
periodogram_cusum,0.05632590502500534,0.43613576889038086,0.15495174618829008,0.017703731008828195,0,0,406611,False
periodogram_eta,0.0019691006746143103,0.1417117565870285,0.03610674754045945,0.013799771991570795,0,0,406611,False
periodogram_inter_percentile_range_25,0.22060716152191162,3.099947452545166,0.7725170922121306,0.09342427079792266,0,0,406611,False
periodogram_standard_deviation,0.17529307305812836,3.7791450023651123,0.8728985520375534,0.16222126326181757,0,0,406611,False
periodogram_percent_amplitude,1.072387456893921,188.07913208007812,11.088982062985348,7.364422198142137,0,0,406611,False
chi2,0.4498577117919922,3962.892578125,2.4094935533611412,14.737952808516104,0,0,406611,False
skew,-19.618165969848633,19.393449783325195,-0.2180913603456351,0.574592061297706,0,0,406611,False
standard_deviation,0.008502685464918613,0.9529010057449341,0.1337937225432701,0.08080029476875636,0,0,406611,False
stetson_K,0.12485861033201218,0.9721922874450684,0.7569684221773871,0.03337133957757679,0,0,406611,False
weighted_mean,12.062179565429688,21.369775772094727,19.524487684850357,1.6873249450991556,0,0,406611,False
