clase,variable,N,media,std,CV
EA,skew,814,2.4110767052340316,0.9597888299329451,0.39807478038728883
EA,eta,814,1.3659019015016582,0.3579322227422454,0.26204826448278495
EA,inter_percentile_range_25,814,0.20414812588281656,0.12094696462718847,0.5924470974404804
EA,standard_deviation,814,0.14129048126362823,0.06683100695562146,0.4730043125192855
EA,median_absolute_deviation,814,0.03195310459090099,0.016881348371405397,0.5283163744975364
EA,stetson_K,814,0.6562573659419514,0.08737464159038945,0.13314081658341048
EW,skew,5414,0.5622153891709164,0.7447216420504912,1.324619810120658
EW,eta,5414,1.3619794792138693,0.35057709439293405,0.25740262591569013
EW,inter_percentile_range_25,5414,0.30304542922603717,0.14800850122344558,0.48840367466175577
EW,standard_deviation,5414,0.12522150778356514,0.06036699865196273,0.4820817104063466
EW,median_absolute_deviation,5414,0.08192137875678489,0.03546302141703769,0.4328909248747303
EW,stetson_K,5414,0.845114839835692,0.04817379454722415,0.057002660794111884
LPV,skew,87,0.27864841349471586,0.5864271221647337,2.104541399715719
LPV,eta,87,0.19921652425630973,0.36961947352364033,1.8553655370881388
LPV,inter_percentile_range_25,87,1.506267980597485,1.1310539513202365,0.7508982238815075
LPV,standard_deviation,87,0.6185701938248265,0.44404716880507494,0.7178605972903135
LPV,median_absolute_deviation,87,0.4334483365902955,0.3726026784993602,0.8596241975005018
LPV,stetson_K,87,0.8306742472673087,0.05023084624408975,0.060469969316293976
RRab,skew,394,-0.4321644027775695,0.40300448556763513,0.9325258697326289
RRab,eta,394,1.5008236877911914,0.37069592345827723,0.24699498447005583
RRab,inter_percentile_range_25,394,0.4660468624933117,0.17368970551748142,0.3726872112994304
RRab,standard_deviation,394,0.1943901901146043,0.07130812861089995,0.3668298722731825
RRab,median_absolute_deviation,394,0.13028842906661445,0.04571735370044764,0.3508934295084107
RRab,stetson_K,394,0.8444718970071564,0.03575838505063915,0.04234407939135495
RRc,skew,934,0.012441933054091015,0.29418782719538916,23.644864983312033
RRc,eta,934,1.4236736544405484,0.35799947627450335,0.25146175540853427
RRc,inter_percentile_range_25,934,0.3240405220291089,0.07539000370250448,0.23265609878178176
RRc,standard_deviation,934,0.13107544059897105,0.030593949266046902,0.2334071823542439
RRc,median_absolute_deviation,934,0.11660285986465356,0.031141881632363616,0.267076482245045
RRc,stetson_K,934,0.8841774634731527,0.03305714540121681,0.037387455309440334
RRd,skew,85,-0.06825893472313192,0.7864564714369762,11.521663422187249
RRd,eta,85,1.3900794095583864,0.3852532018983059,0.27714474385366
RRd,inter_percentile_range_25,85,0.33379297957700843,0.06663098479214632,0.1996176938070505
RRd,standard_deviation,85,0.1356202041561681,0.025846964771716986,0.19058343801012076
RRd,median_absolute_deviation,85,0.10736525479485007,0.023771762887657536,0.2214102032643598
RRd,stetson_K,85,0.8514931514014246,0.05070987045555788,0.05955405556943983
RS CVn,skew,272,0.44223786435384543,1.7189499154960526,3.886935185904114
RS CVn,eta,272,1.0346454603042876,0.5120570908539323,0.4949106824509113
RS CVn,inter_percentile_range_25,272,0.16554185879581115,0.11031809874088745,0.6664060651690528
RS CVn,standard_deviation,272,0.071919731218752,0.045654641070885287,0.6347999401168718
RS CVn,median_absolute_deviation,272,0.04941424376824323,0.034505437779669156,0.6982893017952967
RS CVn,stetson_K,272,0.8008131621613979,0.07208534245797461,0.09001518189763014
