clase,precision,recall,f1,N
EA,0.8580323785803238,0.8464373464373465,0.852195423623995,814
EW,0.890915347556779,0.9564093091983746,0.9225013361838589,5414
LPV,0.9733333333333334,0.8390804597701149,0.9012345679012346,87
RRab,0.8155619596541787,0.7182741116751269,0.7638326585695007,394
RRc,0.781582054309327,0.708779443254818,0.7434025828186412,934
RRd,0.7037037037037037,0.2235294117647059,0.3392857142857143,85
RS CVn,0.6853932584269663,0.22426470588235295,0.3379501385041551,272
