RF_ACC,RF_BAL,LOG_ACC,LOG_BAL,experimento,features,objetos_train,objetos_test
0.851,0.49360250594860616,0.67475,0.6203399120786649,CURVAS_REALES,30,25000,8000
0.85,0.4899834126231097,0.675,0.6217423821576056,MAGNITUDES_BARAJADAS,30,25000,8000
0.851,0.49360250594860616,0.674125,0.6190634314808712,MAGNITUDES_ERRORES_BARAJADOS,30,25000,8000
0.851,0.49360250594860616,0.67475,0.6203399120786649,TIEMPOS_BARAJADOS,30,25000,8000
