clase,count,mean,median,std,min,max
EA,2597,534.3484790142472,454.0,390.7590138998062,6,3158
EW,16852,541.661227154047,461.0,404.2222990131959,8,4450
LPV,281,522.2455516014235,371.0,492.9998915420755,34,3624
RRab,1249,456.1441152922338,326.0,395.9686415760426,12,4406
RRc,2917,473.872471717518,377.0,366.73668175501234,16,4282
RRd,258,471.7480620155039,348.5,377.5911085151406,27,2440
RS CVn,846,491.82033096926716,402.0,365.1719586671647,1,2366
