grupo,N_objetos,observaciones_media,observaciones_mediana,RF_accuracy,RF_balanced,LOG_accuracy,LOG_balanced
<100,798,59.16040100250627,53.0,0.8032581453634086,0.4753507681287971,0.5488721804511278,0.6570924742827998
100-249,1223,181.82011447260834,183.0,0.848732624693377,0.6516268303291489,0.687653311529027,0.7598088467582228
250-499,2591,363.2342724816673,359.0,0.8764955615592436,0.679200977801363,0.7086067155538402,0.758176926197405
500-999,2433,688.8043567612002,663.0,0.8849157418824497,0.6413195439581669,0.6691327579120427,0.7135045256792998
>=1000,955,1313.3162303664922,1169.0,0.9026178010471204,0.6716034206592629,0.6617801047120419,0.7566767043629772
