experimento,variable_eliminada,features,RF_ACC,RF_BAL,LOG_ACC,LOG_BAL,RF_TIME,LOG_TIME,CAIDA_RF_BAL,CAIDA_LOG_BAL
BASE,,12,0.85075,0.6049639005419103,0.7675,0.4613780095459699,10.871978759765625,1.0899877548217773,0.0,0.0
ABLACION,standard_deviation,11,0.849625,0.6034000170509036,0.768125,0.45442160305293056,10.629214525222778,1.0099382400512695,0.001563883491006668,0.006956406493039358
ABLACION,median_absolute_deviation,11,0.841875,0.5985410998488955,0.766125,0.4472452462801809,10.366125583648682,1.033370018005371,0.0064228006930148185,0.014132763265788995
ABLACION,amplitude,11,0.85075,0.6045992925503331,0.767375,0.4535187154228745,11.330104112625122,0.7662477493286133,0.000364607991577226,0.00785929412309544
ABLACION,percent_amplitude,11,0.850625,0.6030113343805102,0.766375,0.4556469638756745,10.58240032196045,0.7400078773498535,0.001952566161400049,0.0057310456702954204
ABLACION,inter_percentile_range_25,11,0.84925,0.605483543306154,0.7665,0.4587728085857635,9.897564888000488,0.7532408237457275,-0.0005196427642436552,0.0026052009602063886
ABLACION,stetson_K,11,0.843,0.5946154883007676,0.762125,0.45134808431128176,10.635146141052246,0.7022337913513184,0.01034841224114269,0.010029925234688153
ABLACION,eta,11,0.828625,0.5687247514413275,0.726875,0.4027843013234468,10.005505323410034,0.6804282665252686,0.03623914910058279,0.05859370822252313
ABLACION,chi2,11,0.851875,0.6034168351002995,0.766625,0.46073244760825155,10.138451337814331,0.5869479179382324,0.001547065441610762,0.0006455619377183641
ABLACION,maximum_slope,11,0.84925,0.6040459419453886,0.766,0.4536677699215819,9.894193172454834,0.6285791397094727,0.0009179585965216619,0.007710239624387993
ABLACION,skew,11,0.845625,0.5974542152737133,0.766375,0.4589165993859345,9.957795858383179,0.7589986324310303,0.007509685268196953,0.0024614101600354266
ABLACION,kurtosis,11,0.84825,0.5984597198257448,0.7675,0.4572491240391877,10.164123773574829,0.8116321563720703,0.006504180716165542,0.004128885506782198
ETIQUETAS_ALEATORIAS,,12,0.674625,0.14287133069362687,0.67675,0.14285714285714285,16.368407726287842,0.4151146411895752,,
