variable,importance
skew,0.19057752283810336
eta,0.09939402782396191
inter_percentile_range_25,0.09690294823343532
standard_deviation,0.09387888891588901
median_absolute_deviation,0.09072474009601722
stetson_K,0.085531688943492
kurtosis,0.08252831159303241
amplitude,0.06745009799150313
percent_amplitude,0.06433478998945458
median,0.05510578420944188
maximum_slope,0.04021996137589751
chi2,0.033351237989771895
