clase,precision,recall,f1,N
EA,0.7395121951219512,0.9312039312039312,0.8243610657966286,814
EW,0.9646017699115044,0.6241226449944588,0.7578782101603678,5414
LPV,0.6837606837606838,0.9195402298850575,0.7843137254901961,87
RRab,0.6443418013856813,0.7081218274111675,0.6747279322853688,394
RRc,0.5225375626043406,0.6702355460385439,0.5872420262664165,934
RRd,0.08034188034188035,0.5529411764705883,0.14029850746268657,85
RS CVn,0.18086040386303776,0.7573529411764706,0.2919914953933381,272
