experimento,features,objetos_train,objetos_test,RF_ACC,RF_BAL,LOG_ACC,LOG_BAL
SOLO PERIODO,1,24998,7944,0.6088872104733132,0.4204933331825331,0.22822255790533735,0.488562999293148
SOLO OBSERVACION,8,24998,7944,0.68202416918429,0.19427108224408185,0.16729607250755288,0.3374092604135414
SOLO ESTADISTICAS,11,24998,7944,0.8323262839879154,0.5226614258197874,0.6155589123867069,0.7214455735843704
MORFOLOGIA PURA,64,24998,7943,0.7230265642704268,0.21279771231704533,0.07251668135465189,0.17003712844614186
MORFOLOGIA + PERIODO,65,24998,7943,0.7497167317134584,0.38852931033765553,0.23366486214276722,0.4113227834862864
TODO,84,24998,7943,0.8446430819589575,0.5764416425638007,0.709681480548911,0.7553993454447936
ETIQUETAS_ALEATORIAS,64,24998,7943,0.6744303160015107,0.14297270356774341,0.06962104998111544,0.16293745696588968
