RF_ACC,RF_BAL,LOG_ACC,LOG_BAL,RF_TIME,LOG_TIME,NAN_TRAIN,NAN_TEST,experimento,features
0.4955,0.1585180370779322,0.1025,0.2130962787051483,5.605970144271851,0.11989903450012207,0,0,MAGNITUD_MEDIA,1
0.490125,0.16361815813907343,0.108625,0.23846821741132018,6.134857654571533,0.14024996757507324,0,0,MEDIANA,1
0.5325,0.2756226174096573,0.2225,0.41993659108440823,6.120470762252808,0.1792290210723877,0,0,DISPERSION,1
0.611875,0.329920394230556,0.370375,0.461602153894038,6.042769908905029,0.24718809127807617,0,0,MAD,1
0.528875,0.24962743437063217,0.1625,0.37416832461872157,5.689563989639282,0.17675042152404785,0,0,AMPLITUD,1
0.5325,0.2511023088179673,0.145125,0.4026493160515701,5.611737251281738,0.2080678939819336,0,0,PERCENT_AMPLITUDE,1
0.767875,0.4328321666841495,0.34475,0.5651164455265517,4.618919372558594,0.3332536220550537,0,0,RANGO_PERCENTIL,2
0.698875,0.36143849988708154,0.584625,0.4338132196631333,5.322960615158081,0.2719917297363281,0,0,ASIMETRIA,1
0.6345,0.27844530211797547,0.253,0.2946958047182552,4.924562454223633,0.23420214653015137,0,0,KURTOSIS,1
0.63425,0.29507279065630826,0.306,0.3767202258492001,4.476786851882935,0.14835667610168457,0,0,STETSON_K,1
0.511625,0.2748794847961468,0.106125,0.3171355304274322,5.283143520355225,0.11334753036499023,0,0,ETA,1
0.512125,0.23961933081844264,0.093125,0.309349839872138,5.344437599182129,0.1891028881072998,0,0,CHI2,1
0.52375,0.20973153303490935,0.171,0.2859302178911455,5.0305702686309814,0.1266796588897705,0,0,MAXIMUM_SLOPE,1
0.682,0.22914175275557996,0.1725,0.33141320246880557,4.999690055847168,0.7067337036132812,0,0,ERROR_FOTOMETRICO,3
0.23675,0.14894247830812044,0.069,0.16102216027547356,3.7249093055725098,0.13904404640197754,0,0,N_OBSERVACIONES,1
0.59825,0.16175490848468058,0.159375,0.1696071272734179,4.85740852355957,0.2250194549560547,0,0,CADENCIA,3
0.60775,0.42685589542882296,0.227,0.4854366413665442,5.499022960662842,0.5090210437774658,0,0,PERIODO,1
0.8835,0.6654455112041994,0.73425,0.7753286387286745,9.333229303359985,0.9414422512054443,0,0,VARIABILIDAD,12
0.884,0.6652837528699804,0.737875,0.7758957482218133,10.683092594146729,1.2274696826934814,0,0,TODO_SIN_MAGNITUD_MEDIA,19
0.90425,0.7474519440137802,0.783,0.804677594382056,10.820918083190918,1.7480206489562988,0,0,TODAS_VARIABLES,22
0.67525,0.1430032637771669,0.0265,0.06677344246426282,15.020465612411499,1.2294678688049316,0,0,ETIQUETAS_ALEATORIAS,22
